BOWLING,over,Mins,Runs,Wicket,Economy,Zeros,fours,sixs,Wide,Noball,counter
Mohammed Siraj,3,0,24.0,1,8.00,11,4,0,3,1,43
Josh Hazlewood,3,0,15.0,2,5.00,13,1,1,0,1,43
Glenn Maxwell,1,0,3.0,1,3.00,3,0,0,0,0,43
Wanindu Hasaranga,4,0,20.0,1,5.00,14,0,2,0,0,43
Karn Sharma,4,0,20.0,2,5.00,12,1,1,0,0,43
Harshal Patel,3.5,0,20.0,1,5.21,9,2,0,0,0,43
Mahipal Lomror,1,0,4.0,0,4.00,2,0,0,0,0,43
Khaleel Ahmed,4,1,24.0,2,6.00,12,4,0,0,0,44
Ishant Sharma,4,0,23.0,2,5.75,12,2,0,1,0,44
Anrich Nortje,4,0,39.0,1,9.75,11,2,3,2,0,44
Kuldeep Yadav,4,0,15.0,1,3.75,9,0,0,0,0,44
Axar Patel,4,0,24.0,0,6.00,10,1,1,1,0,44
Rishi Dhawan,3,0,20.0,1,6.66,11,1,2,0,0,45
Arshdeep Singh,3.5,0,66.0,1,17.21,4,8,4,2,0,45
Sam Curran,3,0,41.0,0,13.66,3,5,2,1,0,45
Nathan Ellis,4,0,34.0,2,8.50,4,3,0,0,0,45
Rahul Chahar,3,0,30.0,0,10.00,5,5,0,0,0,45
Harpreet Brar,2,0,21.0,0,10.50,1,1,1,0,0,45
Harshit Rana,4,0,27.0,1,6.75,13,1,2,2,0,46
Vaibhav Arora,3,0,32.0,2,10.66,6,5,0,1,2,46
Shardul Thakur,3,0,23.0,2,7.66,6,3,0,0,0,46
Andre Russell,1,0,15.0,1,15.00,4,2,1,0,1,46
Anukul Roy,3,0,26.0,1,8.66,6,1,2,1,0,46
Sunil Narine,2,0,16.0,0,8.00,1,1,0,0,0,46
Varun Chakravarthy,4,0,20.0,1,5.00,12,2,0,0,0,46
Trent Boult,3,0,28.0,0,9.33,8,6,0,0,0,47
Sandeep Sharma,3,0,19.0,0,6.33,9,3,0,0,1,47
Adam Zampa,3,0,40.0,0,13.33,3,3,3,0,0,47
Yuzvendra Chahal,3.5,0,22.0,1,5.73,7,1,0,0,0,47
Ravichandran Ashwin,1,0,8.0,0,8.00,1,1,0,0,0,47
Cameron Green,1,0,10.0,0,10.00,4,2,0,1,1,48
Jofra Archer,4,0,24.0,0,6.00,11,3,0,1,0,48
Arshad Khan,1.4,0,28.0,0,16.80,3,2,3,0,0,48
Piyush Chawla,4,0,25.0,2,6.25,8,1,1,0,0,48
Raghav Goyal,4,0,33.0,0,8.25,7,1,2,0,0,48
Tristan Stubbs,2,0,14.0,1,7.00,3,0,1,0,0,48
Akash Madhwal,1,0,4.0,1,4.00,2,0,0,0,0,48
