batting,out,runs,balls,mins,fours,sixs,SR,counter
Moeen Ali,not out,6,6,9,1,0,100.00,29
KL Rahul (c),c Yadav b Sharma,68,61,94,8,0,111.47,30
Kyle Mayers,b Rashid Khan,24,19,31,2,1,126.31,30
Krunal Pandya,st †Saha b Noor Ahmad,23,23,36,2,1,100.00,30
Nicholas Pooran †,c Pandya b Noor Ahmad,1,7,10,0,0,14.28,30
Ayush Badoni,run out (Shankar/Sharma),8,6,22,0,0,133.33,30
Marcus Stoinis,c Miller b Sharma,0,1,2,0,0,0.00,30
Deepak Hooda,run out (Rashid Khan/†Saha),2,2,4,0,0,100.00,30
Prerak Mankad,not out,0,0,4,0,0,0,30
Ravi Bishnoi,not out,0,1,1,0,0,0.00,30
Rohit Sharma (c),c & b Livingstone,44,27,42,4,3,162.96,31
Ishan Kishan †,c Short b Arshdeep Singh,1,4,7,0,0,25.00,31
Cameron Green,c Curran b Ellis,67,43,64,6,3,155.81,31
Suryakumar Yadav,c Taide b Arshdeep Singh,57,26,42,7,3,219.23,31
Tim David,not out,25,13,34,0,2,192.30,31
Tilak Varma,b Arshdeep Singh,3,4,14,0,0,75.00,31
Nehal Wadhera,b Arshdeep Singh,0,1,2,0,0,0.00,31
Jofra Archer,not out,1,2,4,0,0,50.00,31
Yashasvi Jaiswal,c Kohli b Patel,47,37,63,5,2,127.02,32
Jos Buttler,b Mohammed Siraj,0,2,4,0,0,0.00,32
Devdutt Padikkal,c Kohli b Willey,52,34,48,7,1,152.94,32
Sanju Samson (c)†,c Shahbaz Ahmed b Patel,22,15,22,2,1,146.66,32
Shimron Hetmyer,run out (Prabhudessai),3,9,30,0,0,33.33,32
Dhruv Jurel,not out,34,16,35,2,2,212.50,32
Ravichandran Ashwin,c Prabhudessai b Patel,12,6,14,2,0,200.00,32
Abdul Basith,not out,1,1,2,0,0,100.00,32
Narayan Jagadeesan †,c Jadeja b Deshpande,1,3,9,0,0,33.33,33
Sunil Narine,b Akash Singh,0,3,4,0,0,0.00,33
Venkatesh Iyer,lbw b Ali,20,20,35,2,1,100.00,33
Nitish Rana (c),c Gaikwad b Jadeja,27,20,38,4,1,135.00,33
Jason Roy,b Theekshana,61,26,35,5,5,234.61,33
Rinku Singh,not out,53,33,62,3,4,160.60,33
Andre Russell,c Dube b Pathirana,9,6,14,0,1,150.00,33
David Wiese,lbw b Deshpande,1,2,6,0,0,50.00,33
Umesh Yadav,c Conway b Theekshana,4,4,8,0,0,100.00,33
Varun Chakravarthy,not out,0,3,9,0,0,0.00,33
