BOWLING,over,Mins,Runs,Wicket,Economy,Zeros,fours,sixs,Wide,Noball,counter,bowl_team,Date,Season,Toss_team,First_innings,second_innings,bat_field,Team1_Won,Team2_lost,Player Of The Match,Stadium,Umpires1,Umpires2,TV_Umpire,Res_Umpire,Match_Ref,ImpactPlayers1,Replace1Player1,ImpactPlayers2,ReplacePlayer2,impactTeam1,impactTeam2,T20_debut_1,T20_debut_2
Ravi Bishnoi,2.0,0,23.0,0,11.5,1,2,1,0,0,57,Lucknow Super Giants,2023-05-13,2023,Sunrisers Hyderabad,Sunrisers Hyderabad,Lucknow Super Giants,bat,Lucknow Super Giants,Sunrisers Hyderabad,Prerak Mankad,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",Akshay Totre,Jayaraman Madanagopal,Yeshwant Barde,Mohamed Rafi,Pankaj Dharmani,Ayush Badoni,Amit Mishra,Vivrant Sharma,Anmolpreet Singh,Lucknow Super Giants,Sunrisers Hyderabad,,
Bhuvneshwar Kumar,4.0,0,30.0,0,7.5,8,3,1,0,0,57,Sunrisers Hyderabad,2023-05-13,2023,Sunrisers Hyderabad,Sunrisers Hyderabad,Lucknow Super Giants,bat,Lucknow Super Giants,Sunrisers Hyderabad,Prerak Mankad,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",Akshay Totre,Jayaraman Madanagopal,Yeshwant Barde,Mohamed Rafi,Pankaj Dharmani,Ayush Badoni,Amit Mishra,Vivrant Sharma,Anmolpreet Singh,Lucknow Super Giants,Sunrisers Hyderabad,,
Fazalhaq Farooqi,3.2,0,32.0,0,9.6,8,5,0,4,0,57,Sunrisers Hyderabad,2023-05-13,2023,Sunrisers Hyderabad,Sunrisers Hyderabad,Lucknow Super Giants,bat,Lucknow Super Giants,Sunrisers Hyderabad,Prerak Mankad,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",Akshay Totre,Jayaraman Madanagopal,Yeshwant Barde,Mohamed Rafi,Pankaj Dharmani,Ayush Badoni,Amit Mishra,Vivrant Sharma,Anmolpreet Singh,Lucknow Super Giants,Sunrisers Hyderabad,,
Glenn Phillips,2.0,0,10.0,1,5.0,5,1,0,0,0,57,Sunrisers Hyderabad,2023-05-13,2023,Sunrisers Hyderabad,Sunrisers Hyderabad,Lucknow Super Giants,bat,Lucknow Super Giants,Sunrisers Hyderabad,Prerak Mankad,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",Akshay Totre,Jayaraman Madanagopal,Yeshwant Barde,Mohamed Rafi,Pankaj Dharmani,Ayush Badoni,Amit Mishra,Vivrant Sharma,Anmolpreet Singh,Lucknow Super Giants,Sunrisers Hyderabad,,
T Natarajan,4.0,0,31.0,0,7.75,8,1,2,0,0,57,Sunrisers Hyderabad,2023-05-13,2023,Sunrisers Hyderabad,Sunrisers Hyderabad,Lucknow Super Giants,bat,Lucknow Super Giants,Sunrisers Hyderabad,Prerak Mankad,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",Akshay Totre,Jayaraman Madanagopal,Yeshwant Barde,Mohamed Rafi,Pankaj Dharmani,Ayush Badoni,Amit Mishra,Vivrant Sharma,Anmolpreet Singh,Lucknow Super Giants,Sunrisers Hyderabad,,
Mayank Markande,3.0,0,39.0,1,13.0,2,4,2,0,0,57,Sunrisers Hyderabad,2023-05-13,2023,Sunrisers Hyderabad,Sunrisers Hyderabad,Lucknow Super Giants,bat,Lucknow Super Giants,Sunrisers Hyderabad,Prerak Mankad,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",Akshay Totre,Jayaraman Madanagopal,Yeshwant Barde,Mohamed Rafi,Pankaj Dharmani,Ayush Badoni,Amit Mishra,Vivrant Sharma,Anmolpreet Singh,Lucknow Super Giants,Sunrisers Hyderabad,,
Abhishek Sharma,3.0,0,42.0,1,14.0,6,1,5,1,0,57,Sunrisers Hyderabad,2023-05-13,2023,Sunrisers Hyderabad,Sunrisers Hyderabad,Lucknow Super Giants,bat,Lucknow Super Giants,Sunrisers Hyderabad,Prerak Mankad,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",Akshay Totre,Jayaraman Madanagopal,Yeshwant Barde,Mohamed Rafi,Pankaj Dharmani,Ayush Badoni,Amit Mishra,Vivrant Sharma,Anmolpreet Singh,Lucknow Super Giants,Sunrisers Hyderabad,,
Khaleel Ahmed,4.0,0,36.0,0,9.0,11,4,1,3,0,58,Delhi Capitals,2023-05-13,2023,Delhi Capitals,Punjab Kings,Delhi Capitals,field,Punjab Kings,Delhi Capitals,Prabhsimran Singh,"Arun Jaitley Stadium, Delhi",Chris Gaffaney,Nikhil Patwardhan,Sadashiv Iyer,Mohit Krishnadas,Sanjay Verma,Manish Pandey,Khaleel Ahmed,Nathan Ellis,Prabhsimran Singh,Delhi Capitals,Punjab Kings,,
Ishant Sharma,3.0,0,27.0,2,9.0,8,4,1,0,0,58,Delhi Capitals,2023-05-13,2023,Delhi Capitals,Punjab Kings,Delhi Capitals,field,Punjab Kings,Delhi Capitals,Prabhsimran Singh,"Arun Jaitley Stadium, Delhi",Chris Gaffaney,Nikhil Patwardhan,Sadashiv Iyer,Mohit Krishnadas,Sanjay Verma,Manish Pandey,Khaleel Ahmed,Nathan Ellis,Prabhsimran Singh,Delhi Capitals,Punjab Kings,,
Axar Patel,4.0,0,27.0,1,6.75,12,1,1,2,0,58,Delhi Capitals,2023-05-13,2023,Delhi Capitals,Punjab Kings,Delhi Capitals,field,Punjab Kings,Delhi Capitals,Prabhsimran Singh,"Arun Jaitley Stadium, Delhi",Chris Gaffaney,Nikhil Patwardhan,Sadashiv Iyer,Mohit Krishnadas,Sanjay Verma,Manish Pandey,Khaleel Ahmed,Nathan Ellis,Prabhsimran Singh,Delhi Capitals,Punjab Kings,,
Praveen Dubey,3.0,0,19.0,1,6.33,8,1,1,1,0,58,Delhi Capitals,2023-05-13,2023,Delhi Capitals,Punjab Kings,Delhi Capitals,field,Punjab Kings,Delhi Capitals,Prabhsimran Singh,"Arun Jaitley Stadium, Delhi",Chris Gaffaney,Nikhil Patwardhan,Sadashiv Iyer,Mohit Krishnadas,Sanjay Verma,Manish Pandey,Khaleel Ahmed,Nathan Ellis,Prabhsimran Singh,Delhi Capitals,Punjab Kings,,
Kuldeep Yadav,4.0,0,32.0,1,8.0,9,2,2,0,0,58,Delhi Capitals,2023-05-13,2023,Delhi Capitals,Punjab Kings,Delhi Capitals,field,Punjab Kings,Delhi Capitals,Prabhsimran Singh,"Arun Jaitley Stadium, Delhi",Chris Gaffaney,Nikhil Patwardhan,Sadashiv Iyer,Mohit Krishnadas,Sanjay Verma,Manish Pandey,Khaleel Ahmed,Nathan Ellis,Prabhsimran Singh,Delhi Capitals,Punjab Kings,,
Mitchell Marsh,1.0,0,21.0,0,21.0,0,1,2,1,0,58,Delhi Capitals,2023-05-13,2023,Delhi Capitals,Punjab Kings,Delhi Capitals,field,Punjab Kings,Delhi Capitals,Prabhsimran Singh,"Arun Jaitley Stadium, Delhi",Chris Gaffaney,Nikhil Patwardhan,Sadashiv Iyer,Mohit Krishnadas,Sanjay Verma,Manish Pandey,Khaleel Ahmed,Nathan Ellis,Prabhsimran Singh,Delhi Capitals,Punjab Kings,,
Mukesh Kumar,1.0,0,3.0,1,3.0,3,0,0,0,0,58,Delhi Capitals,2023-05-13,2023,Delhi Capitals,Punjab Kings,Delhi Capitals,field,Punjab Kings,Delhi Capitals,Prabhsimran Singh,"Arun Jaitley Stadium, Delhi",Chris Gaffaney,Nikhil Patwardhan,Sadashiv Iyer,Mohit Krishnadas,Sanjay Verma,Manish Pandey,Khaleel Ahmed,Nathan Ellis,Prabhsimran Singh,Delhi Capitals,Punjab Kings,,
Rishi Dhawan,1.0,0,10.0,0,10.0,2,2,0,0,0,58,Punjab Kings,2023-05-13,2023,Delhi Capitals,Punjab Kings,Delhi Capitals,field,Punjab Kings,Delhi Capitals,Prabhsimran Singh,"Arun Jaitley Stadium, Delhi",Chris Gaffaney,Nikhil Patwardhan,Sadashiv Iyer,Mohit Krishnadas,Sanjay Verma,Manish Pandey,Khaleel Ahmed,Nathan Ellis,Prabhsimran Singh,Delhi Capitals,Punjab Kings,,
Sam Curran,2.0,0,18.0,0,9.0,4,3,0,0,0,58,Punjab Kings,2023-05-13,2023,Delhi Capitals,Punjab Kings,Delhi Capitals,field,Punjab Kings,Delhi Capitals,Prabhsimran Singh,"Arun Jaitley Stadium, Delhi",Chris Gaffaney,Nikhil Patwardhan,Sadashiv Iyer,Mohit Krishnadas,Sanjay Verma,Manish Pandey,Khaleel Ahmed,Nathan Ellis,Prabhsimran Singh,Delhi Capitals,Punjab Kings,,
Harpreet Brar,4.0,0,30.0,4,7.5,11,5,0,1,0,58,Punjab Kings,2023-05-13,2023,Delhi Capitals,Punjab Kings,Delhi Capitals,field,Punjab Kings,Delhi Capitals,Prabhsimran Singh,"Arun Jaitley Stadium, Delhi",Chris Gaffaney,Nikhil Patwardhan,Sadashiv Iyer,Mohit Krishnadas,Sanjay Verma,Manish Pandey,Khaleel Ahmed,Nathan Ellis,Prabhsimran Singh,Delhi Capitals,Punjab Kings,,
Nathan Ellis,4.0,0,26.0,2,6.5,6,2,0,1,0,58,Punjab Kings,2023-05-13,2023,Delhi Capitals,Punjab Kings,Delhi Capitals,field,Punjab Kings,Delhi Capitals,Prabhsimran Singh,"Arun Jaitley Stadium, Delhi",Chris Gaffaney,Nikhil Patwardhan,Sadashiv Iyer,Mohit Krishnadas,Sanjay Verma,Manish Pandey,Khaleel Ahmed,Nathan Ellis,Prabhsimran Singh,Delhi Capitals,Punjab Kings,,
Arshdeep Singh,4.0,0,32.0,0,8.0,8,2,2,0,0,58,Punjab Kings,2023-05-13,2023,Delhi Capitals,Punjab Kings,Delhi Capitals,field,Punjab Kings,Delhi Capitals,Prabhsimran Singh,"Arun Jaitley Stadium, Delhi",Chris Gaffaney,Nikhil Patwardhan,Sadashiv Iyer,Mohit Krishnadas,Sanjay Verma,Manish Pandey,Khaleel Ahmed,Nathan Ellis,Prabhsimran Singh,Delhi Capitals,Punjab Kings,,
Rahul Chahar,4.0,0,16.0,2,4.0,18,3,0,1,0,58,Punjab Kings,2023-05-13,2023,Delhi Capitals,Punjab Kings,Delhi Capitals,field,Punjab Kings,Delhi Capitals,Prabhsimran Singh,"Arun Jaitley Stadium, Delhi",Chris Gaffaney,Nikhil Patwardhan,Sadashiv Iyer,Mohit Krishnadas,Sanjay Verma,Manish Pandey,Khaleel Ahmed,Nathan Ellis,Prabhsimran Singh,Delhi Capitals,Punjab Kings,,
Sikandar Raza,1.0,0,3.0,0,3.0,3,0,0,0,0,58,Punjab Kings,2023-05-13,2023,Delhi Capitals,Punjab Kings,Delhi Capitals,field,Punjab Kings,Delhi Capitals,Prabhsimran Singh,"Arun Jaitley Stadium, Delhi",Chris Gaffaney,Nikhil Patwardhan,Sadashiv Iyer,Mohit Krishnadas,Sanjay Verma,Manish Pandey,Khaleel Ahmed,Nathan Ellis,Prabhsimran Singh,Delhi Capitals,Punjab Kings,,
Sandeep Sharma,4.0,0,34.0,1,8.5,4,4,0,1,0,59,Rajasthan Royals,2023-05-14,2023,Royal Challengers Bangalore,Royal Challengers Bangalore,Rajasthan Royals,bat,Royal Challengers Bangalore,Rajasthan Royals,Wayne Parnell,"Sawai Mansingh Stadium, Jaipur",KN Ananthapadmanabhan,Navdeep Singh,Rod Tucker,Parashar Joshi,Narayanan Kutty,Devdutt Padikkal,Yuzvendra Chahal,Shahbaz Ahmed,Dinesh Karthik,Rajasthan Royals,Royal Challengers Bangalore,,
Adam Zampa,4.0,0,25.0,2,6.25,10,2,1,0,0,59,Rajasthan Royals,2023-05-14,2023,Royal Challengers Bangalore,Royal Challengers Bangalore,Rajasthan Royals,bat,Royal Challengers Bangalore,Rajasthan Royals,Wayne Parnell,"Sawai Mansingh Stadium, Jaipur",KN Ananthapadmanabhan,Navdeep Singh,Rod Tucker,Parashar Joshi,Narayanan Kutty,Devdutt Padikkal,Yuzvendra Chahal,Shahbaz Ahmed,Dinesh Karthik,Rajasthan Royals,Royal Challengers Bangalore,,
Yuzvendra Chahal,4.0,0,37.0,0,9.25,4,3,1,1,0,59,Rajasthan Royals,2023-05-14,2023,Royal Challengers Bangalore,Royal Challengers Bangalore,Rajasthan Royals,bat,Royal Challengers Bangalore,Rajasthan Royals,Wayne Parnell,"Sawai Mansingh Stadium, Jaipur",KN Ananthapadmanabhan,Navdeep Singh,Rod Tucker,Parashar Joshi,Narayanan Kutty,Devdutt Padikkal,Yuzvendra Chahal,Shahbaz Ahmed,Dinesh Karthik,Rajasthan Royals,Royal Challengers Bangalore,,
Ravichandran Ashwin,4.0,0,33.0,0,8.25,5,1,2,1,0,59,Rajasthan Royals,2023-05-14,2023,Royal Challengers Bangalore,Royal Challengers Bangalore,Rajasthan Royals,bat,Royal Challengers Bangalore,Rajasthan Royals,Wayne Parnell,"Sawai Mansingh Stadium, Jaipur",KN Ananthapadmanabhan,Navdeep Singh,Rod Tucker,Parashar Joshi,Narayanan Kutty,Devdutt Padikkal,Yuzvendra Chahal,Shahbaz Ahmed,Dinesh Karthik,Rajasthan Royals,Royal Challengers Bangalore,,
KM Asif,4.0,0,42.0,2,10.5,8,2,3,1,0,59,Rajasthan Royals,2023-05-14,2023,Royal Challengers Bangalore,Royal Challengers Bangalore,Rajasthan Royals,bat,Royal Challengers Bangalore,Rajasthan Royals,Wayne Parnell,"Sawai Mansingh Stadium, Jaipur",KN Ananthapadmanabhan,Navdeep Singh,Rod Tucker,Parashar Joshi,Narayanan Kutty,Devdutt Padikkal,Yuzvendra Chahal,Shahbaz Ahmed,Dinesh Karthik,Rajasthan Royals,Royal Challengers Bangalore,,
Mohammed Siraj,2.0,0,10.0,1,5.0,9,2,0,1,0,59,Royal Challengers Bangalore,2023-05-14,2023,Royal Challengers Bangalore,Royal Challengers Bangalore,Rajasthan Royals,bat,Royal Challengers Bangalore,Rajasthan Royals,Wayne Parnell,"Sawai Mansingh Stadium, Jaipur",KN Ananthapadmanabhan,Navdeep Singh,Rod Tucker,Parashar Joshi,Narayanan Kutty,Devdutt Padikkal,Yuzvendra Chahal,Shahbaz Ahmed,Dinesh Karthik,Rajasthan Royals,Royal Challengers Bangalore,,
Wayne Parnell,3.0,0,10.0,3,3.33,12,1,0,1,0,59,Royal Challengers Bangalore,2023-05-14,2023,Royal Challengers Bangalore,Royal Challengers Bangalore,Rajasthan Royals,bat,Royal Challengers Bangalore,Rajasthan Royals,Wayne Parnell,"Sawai Mansingh Stadium, Jaipur",KN Ananthapadmanabhan,Navdeep Singh,Rod Tucker,Parashar Joshi,Narayanan Kutty,Devdutt Padikkal,Yuzvendra Chahal,Shahbaz Ahmed,Dinesh Karthik,Rajasthan Royals,Royal Challengers Bangalore,,
Michael Bracewell,3.0,0,16.0,2,5.33,10,1,1,0,0,59,Royal Challengers Bangalore,2023-05-14,2023,Royal Challengers Bangalore,Royal Challengers Bangalore,Rajasthan Royals,bat,Royal Challengers Bangalore,Rajasthan Royals,Wayne Parnell,"Sawai Mansingh Stadium, Jaipur",KN Ananthapadmanabhan,Navdeep Singh,Rod Tucker,Parashar Joshi,Narayanan Kutty,Devdutt Padikkal,Yuzvendra Chahal,Shahbaz Ahmed,Dinesh Karthik,Rajasthan Royals,Royal Challengers Bangalore,,
Karn Sharma,1.3,0,19.0,2,12.66,5,0,3,0,0,59,Royal Challengers Bangalore,2023-05-14,2023,Royal Challengers Bangalore,Royal Challengers Bangalore,Rajasthan Royals,bat,Royal Challengers Bangalore,Rajasthan Royals,Wayne Parnell,"Sawai Mansingh Stadium, Jaipur",KN Ananthapadmanabhan,Navdeep Singh,Rod Tucker,Parashar Joshi,Narayanan Kutty,Devdutt Padikkal,Yuzvendra Chahal,Shahbaz Ahmed,Dinesh Karthik,Rajasthan Royals,Royal Challengers Bangalore,,
Glenn Maxwell,1.0,0,3.0,1,3.0,4,0,0,0,0,59,Royal Challengers Bangalore,2023-05-14,2023,Royal Challengers Bangalore,Royal Challengers Bangalore,Rajasthan Royals,bat,Royal Challengers Bangalore,Rajasthan Royals,Wayne Parnell,"Sawai Mansingh Stadium, Jaipur",KN Ananthapadmanabhan,Navdeep Singh,Rod Tucker,Parashar Joshi,Narayanan Kutty,Devdutt Padikkal,Yuzvendra Chahal,Shahbaz Ahmed,Dinesh Karthik,Rajasthan Royals,Royal Challengers Bangalore,,
Vaibhav Arora,4.0,0,30.0,1,7.5,7,2,0,1,1,60,Kolkata Knight Riders,2023-05-14,2023,Chennai Super Kings,Chennai Super Kings,Kolkata Knight Riders,bat,Kolkata Knight Riders,Chennai Super Kings,Rinku Singh,"MA Chidambaram Stadium, Chepauk, Chennai",Tapan Sharma,Vinod Seshan,Nitin Menon,VM Dhokre,Javagal Srinath,Matheesha Pathirana,Shivam Dube,Venkatesh Iyer,Suyash Sharma,Chennai Super Kings,Kolkata Knight Riders,,
Harshit Rana,2.0,0,19.0,0,9.5,5,2,1,0,0,60,Kolkata Knight Riders,2023-05-14,2023,Chennai Super Kings,Chennai Super Kings,Kolkata Knight Riders,bat,Kolkata Knight Riders,Chennai Super Kings,Rinku Singh,"MA Chidambaram Stadium, Chepauk, Chennai",Tapan Sharma,Vinod Seshan,Nitin Menon,VM Dhokre,Javagal Srinath,Matheesha Pathirana,Shivam Dube,Venkatesh Iyer,Suyash Sharma,Chennai Super Kings,Kolkata Knight Riders,,
Varun Chakravarthy,4.0,0,36.0,2,9.0,5,2,1,1,0,60,Kolkata Knight Riders,2023-05-14,2023,Chennai Super Kings,Chennai Super Kings,Kolkata Knight Riders,bat,Kolkata Knight Riders,Chennai Super Kings,Rinku Singh,"MA Chidambaram Stadium, Chepauk, Chennai",Tapan Sharma,Vinod Seshan,Nitin Menon,VM Dhokre,Javagal Srinath,Matheesha Pathirana,Shivam Dube,Venkatesh Iyer,Suyash Sharma,Chennai Super Kings,Kolkata Knight Riders,,
Sunil Narine,4.0,0,15.0,2,3.75,10,0,0,0,0,60,Kolkata Knight Riders,2023-05-14,2023,Chennai Super Kings,Chennai Super Kings,Kolkata Knight Riders,bat,Kolkata Knight Riders,Chennai Super Kings,Rinku Singh,"MA Chidambaram Stadium, Chepauk, Chennai",Tapan Sharma,Vinod Seshan,Nitin Menon,VM Dhokre,Javagal Srinath,Matheesha Pathirana,Shivam Dube,Venkatesh Iyer,Suyash Sharma,Chennai Super Kings,Kolkata Knight Riders,,
Shardul Thakur,3.0,0,15.0,1,5.0,7,1,0,1,0,60,Kolkata Knight Riders,2023-05-14,2023,Chennai Super Kings,Chennai Super Kings,Kolkata Knight Riders,bat,Kolkata Knight Riders,Chennai Super Kings,Rinku Singh,"MA Chidambaram Stadium, Chepauk, Chennai",Tapan Sharma,Vinod Seshan,Nitin Menon,VM Dhokre,Javagal Srinath,Matheesha Pathirana,Shivam Dube,Venkatesh Iyer,Suyash Sharma,Chennai Super Kings,Kolkata Knight Riders,,
Suyash Sharma,3.0,0,29.0,0,9.66,6,0,3,0,1,60,Kolkata Knight Riders,2023-05-14,2023,Chennai Super Kings,Chennai Super Kings,Kolkata Knight Riders,bat,Kolkata Knight Riders,Chennai Super Kings,Rinku Singh,"MA Chidambaram Stadium, Chepauk, Chennai",Tapan Sharma,Vinod Seshan,Nitin Menon,VM Dhokre,Javagal Srinath,Matheesha Pathirana,Shivam Dube,Venkatesh Iyer,Suyash Sharma,Chennai Super Kings,Kolkata Knight Riders,,
Deepak Chahar,3.0,0,27.0,3,9.0,7,3,1,2,0,60,Chennai Super Kings,2023-05-14,2023,Chennai Super Kings,Chennai Super Kings,Kolkata Knight Riders,bat,Kolkata Knight Riders,Chennai Super Kings,Rinku Singh,"MA Chidambaram Stadium, Chepauk, Chennai",Tapan Sharma,Vinod Seshan,Nitin Menon,VM Dhokre,Javagal Srinath,Matheesha Pathirana,Shivam Dube,Venkatesh Iyer,Suyash Sharma,Chennai Super Kings,Kolkata Knight Riders,,
Tushar Deshpande,3.3,0,25.0,0,7.14,11,2,1,2,0,60,Chennai Super Kings,2023-05-14,2023,Chennai Super Kings,Chennai Super Kings,Kolkata Knight Riders,bat,Kolkata Knight Riders,Chennai Super Kings,Rinku Singh,"MA Chidambaram Stadium, Chepauk, Chennai",Tapan Sharma,Vinod Seshan,Nitin Menon,VM Dhokre,Javagal Srinath,Matheesha Pathirana,Shivam Dube,Venkatesh Iyer,Suyash Sharma,Chennai Super Kings,Kolkata Knight Riders,,
Moeen Ali,4.0,0,31.0,0,7.75,8,5,0,0,0,60,Chennai Super Kings,2023-05-14,2023,Chennai Super Kings,Chennai Super Kings,Kolkata Knight Riders,bat,Kolkata Knight Riders,Chennai Super Kings,Rinku Singh,"MA Chidambaram Stadium, Chepauk, Chennai",Tapan Sharma,Vinod Seshan,Nitin Menon,VM Dhokre,Javagal Srinath,Matheesha Pathirana,Shivam Dube,Venkatesh Iyer,Suyash Sharma,Chennai Super Kings,Kolkata Knight Riders,,
Maheesh Theekshana,3.0,0,22.0,0,7.33,3,2,0,0,0,60,Chennai Super Kings,2023-05-14,2023,Chennai Super Kings,Chennai Super Kings,Kolkata Knight Riders,bat,Kolkata Knight Riders,Chennai Super Kings,Rinku Singh,"MA Chidambaram Stadium, Chepauk, Chennai",Tapan Sharma,Vinod Seshan,Nitin Menon,VM Dhokre,Javagal Srinath,Matheesha Pathirana,Shivam Dube,Venkatesh Iyer,Suyash Sharma,Chennai Super Kings,Kolkata Knight Riders,,
Matheesha Pathirana,3.0,0,23.0,0,7.66,8,1,0,2,1,60,Chennai Super Kings,2023-05-14,2023,Chennai Super Kings,Chennai Super Kings,Kolkata Knight Riders,bat,Kolkata Knight Riders,Chennai Super Kings,Rinku Singh,"MA Chidambaram Stadium, Chepauk, Chennai",Tapan Sharma,Vinod Seshan,Nitin Menon,VM Dhokre,Javagal Srinath,Matheesha Pathirana,Shivam Dube,Venkatesh Iyer,Suyash Sharma,Chennai Super Kings,Kolkata Knight Riders,,
Ravindra Jadeja,2.0,0,18.0,0,9.0,4,0,2,0,0,60,Chennai Super Kings,2023-05-14,2023,Chennai Super Kings,Chennai Super Kings,Kolkata Knight Riders,bat,Kolkata Knight Riders,Chennai Super Kings,Rinku Singh,"MA Chidambaram Stadium, Chepauk, Chennai",Tapan Sharma,Vinod Seshan,Nitin Menon,VM Dhokre,Javagal Srinath,Matheesha Pathirana,Shivam Dube,Venkatesh Iyer,Suyash Sharma,Chennai Super Kings,Kolkata Knight Riders,,
Bhuvneshwar Kumar,4.0,0,30.0,5,7.5,11,4,0,0,0,61,Sunrisers Hyderabad,2023-05-15,2023,Sunrisers Hyderabad,Gujarat Titans,Sunrisers Hyderabad,field,Gujarat Titans,Sunrisers Hyderabad,Shubman Gill,"Narendra Modi Stadium, Ahmedabad",Jayaraman Madanagopal,Ulhas Gandhe,Akshay Totre,Mohamed Rafi,Manu Nayyar,Anmolpreet Singh,T Natarajan,Yash Dayal,Shubman Gill,Sunrisers Hyderabad,Gujarat Titans,,
Marco Jansen,4.0,0,39.0,1,9.75,11,3,1,4,2,61,Sunrisers Hyderabad,2023-05-15,2023,Sunrisers Hyderabad,Gujarat Titans,Sunrisers Hyderabad,field,Gujarat Titans,Sunrisers Hyderabad,Shubman Gill,"Narendra Modi Stadium, Ahmedabad",Jayaraman Madanagopal,Ulhas Gandhe,Akshay Totre,Mohamed Rafi,Manu Nayyar,Anmolpreet Singh,T Natarajan,Yash Dayal,Shubman Gill,Sunrisers Hyderabad,Gujarat Titans,,
Fazalhaq Farooqi,3.0,0,31.0,1,10.33,3,4,0,1,0,61,Sunrisers Hyderabad,2023-05-15,2023,Sunrisers Hyderabad,Gujarat Titans,Sunrisers Hyderabad,field,Gujarat Titans,Sunrisers Hyderabad,Shubman Gill,"Narendra Modi Stadium, Ahmedabad",Jayaraman Madanagopal,Ulhas Gandhe,Akshay Totre,Mohamed Rafi,Manu Nayyar,Anmolpreet Singh,T Natarajan,Yash Dayal,Shubman Gill,Sunrisers Hyderabad,Gujarat Titans,,
T Natarajan,4.0,0,34.0,1,8.5,4,4,0,0,0,61,Sunrisers Hyderabad,2023-05-15,2023,Sunrisers Hyderabad,Gujarat Titans,Sunrisers Hyderabad,field,Gujarat Titans,Sunrisers Hyderabad,Shubman Gill,"Narendra Modi Stadium, Ahmedabad",Jayaraman Madanagopal,Ulhas Gandhe,Akshay Totre,Mohamed Rafi,Manu Nayyar,Anmolpreet Singh,T Natarajan,Yash Dayal,Shubman Gill,Sunrisers Hyderabad,Gujarat Titans,,
Aiden Markram,1.0,0,13.0,0,13.0,0,2,0,0,0,61,Sunrisers Hyderabad,2023-05-15,2023,Sunrisers Hyderabad,Gujarat Titans,Sunrisers Hyderabad,field,Gujarat Titans,Sunrisers Hyderabad,Shubman Gill,"Narendra Modi Stadium, Ahmedabad",Jayaraman Madanagopal,Ulhas Gandhe,Akshay Totre,Mohamed Rafi,Manu Nayyar,Anmolpreet Singh,T Natarajan,Yash Dayal,Shubman Gill,Sunrisers Hyderabad,Gujarat Titans,,
Mayank Markande,3.0,0,27.0,0,9.0,3,4,0,0,0,61,Sunrisers Hyderabad,2023-05-15,2023,Sunrisers Hyderabad,Gujarat Titans,Sunrisers Hyderabad,field,Gujarat Titans,Sunrisers Hyderabad,Shubman Gill,"Narendra Modi Stadium, Ahmedabad",Jayaraman Madanagopal,Ulhas Gandhe,Akshay Totre,Mohamed Rafi,Manu Nayyar,Anmolpreet Singh,T Natarajan,Yash Dayal,Shubman Gill,Sunrisers Hyderabad,Gujarat Titans,,
Abhishek Sharma,1.0,0,13.0,0,13.0,2,1,1,1,0,61,Sunrisers Hyderabad,2023-05-15,2023,Sunrisers Hyderabad,Gujarat Titans,Sunrisers Hyderabad,field,Gujarat Titans,Sunrisers Hyderabad,Shubman Gill,"Narendra Modi Stadium, Ahmedabad",Jayaraman Madanagopal,Ulhas Gandhe,Akshay Totre,Mohamed Rafi,Manu Nayyar,Anmolpreet Singh,T Natarajan,Yash Dayal,Shubman Gill,Sunrisers Hyderabad,Gujarat Titans,,
Mohammed Shami,4.0,0,21.0,4,5.25,13,1,1,0,0,61,Gujarat Titans,2023-05-15,2023,Sunrisers Hyderabad,Gujarat Titans,Sunrisers Hyderabad,field,Gujarat Titans,Sunrisers Hyderabad,Shubman Gill,"Narendra Modi Stadium, Ahmedabad",Jayaraman Madanagopal,Ulhas Gandhe,Akshay Totre,Mohamed Rafi,Manu Nayyar,Anmolpreet Singh,T Natarajan,Yash Dayal,Shubman Gill,Sunrisers Hyderabad,Gujarat Titans,,
Yash Dayal,4.0,0,31.0,1,7.75,11,4,0,4,0,61,Gujarat Titans,2023-05-15,2023,Sunrisers Hyderabad,Gujarat Titans,Sunrisers Hyderabad,field,Gujarat Titans,Sunrisers Hyderabad,Shubman Gill,"Narendra Modi Stadium, Ahmedabad",Jayaraman Madanagopal,Ulhas Gandhe,Akshay Totre,Mohamed Rafi,Manu Nayyar,Anmolpreet Singh,T Natarajan,Yash Dayal,Shubman Gill,Sunrisers Hyderabad,Gujarat Titans,,
Rashid Khan,4.0,0,28.0,0,7.0,6,1,1,0,0,61,Gujarat Titans,2023-05-15,2023,Sunrisers Hyderabad,Gujarat Titans,Sunrisers Hyderabad,field,Gujarat Titans,Sunrisers Hyderabad,Shubman Gill,"Narendra Modi Stadium, Ahmedabad",Jayaraman Madanagopal,Ulhas Gandhe,Akshay Totre,Mohamed Rafi,Manu Nayyar,Anmolpreet Singh,T Natarajan,Yash Dayal,Shubman Gill,Sunrisers Hyderabad,Gujarat Titans,,
