BOWLING,over,Mins,Runs,Wicket,Economy,Zeros,fours,sixs,Wide,Noball,counter,bowl_team,Date,Season,Toss_team,First_innings,second_innings,bat_field,Team1_Won,Team2_lost,Player Of The Match,Stadium,Umpires1,Umpires2,TV_Umpire,Res_Umpire,Match_Ref,ImpactPlayers1,Replace1Player1,ImpactPlayers2,ReplacePlayer2,impactTeam1,impactTeam2,T20_debut_1,T20_debut_2
Umran Malik,3.0,0,32.0,1,10.66,4,4,1,1,0,4,Sunrisers Hyderabad,2023-04-02,2023,Sunrisers Hyderabad,Rajasthan Royals,Sunrisers Hyderabad,field,Rajasthan Royals,Sunrisers Hyderabad,Jos Buttler,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",KN Ananthapadmanabhan,Rohan Pandit,Navdeep Singh,Abhijit Bhattacharya,Narayanan Kutty,Abdul Samad,Fazalhaq Farooqi,Navdeep Saini,Yashasvi Jaiswal,Sunrisers Hyderabad,Rajasthan Royals,,
Trent Boult,4.0,1,21.0,2,5.25,15,2,1,0,0,4,Rajasthan Royals,2023-04-02,2023,Sunrisers Hyderabad,Rajasthan Royals,Sunrisers Hyderabad,field,Rajasthan Royals,Sunrisers Hyderabad,Jos Buttler,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",KN Ananthapadmanabhan,Rohan Pandit,Navdeep Singh,Abhijit Bhattacharya,Narayanan Kutty,Abdul Samad,Fazalhaq Farooqi,Navdeep Saini,Yashasvi Jaiswal,Sunrisers Hyderabad,Rajasthan Royals,,
KM Asif,3.0,0,15.0,0,5.0,9,1,0,1,0,4,Rajasthan Royals,2023-04-02,2023,Sunrisers Hyderabad,Rajasthan Royals,Sunrisers Hyderabad,field,Rajasthan Royals,Sunrisers Hyderabad,Jos Buttler,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",KN Ananthapadmanabhan,Rohan Pandit,Navdeep Singh,Abhijit Bhattacharya,Narayanan Kutty,Abdul Samad,Fazalhaq Farooqi,Navdeep Saini,Yashasvi Jaiswal,Sunrisers Hyderabad,Rajasthan Royals,,
Jason Holder,3.0,0,16.0,1,5.33,10,1,1,0,0,4,Rajasthan Royals,2023-04-02,2023,Sunrisers Hyderabad,Rajasthan Royals,Sunrisers Hyderabad,field,Rajasthan Royals,Sunrisers Hyderabad,Jos Buttler,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",KN Ananthapadmanabhan,Rohan Pandit,Navdeep Singh,Abhijit Bhattacharya,Narayanan Kutty,Abdul Samad,Fazalhaq Farooqi,Navdeep Saini,Yashasvi Jaiswal,Sunrisers Hyderabad,Rajasthan Royals,,
Ravichandran Ashwin,4.0,0,27.0,1,6.75,10,1,1,2,0,4,Rajasthan Royals,2023-04-02,2023,Sunrisers Hyderabad,Rajasthan Royals,Sunrisers Hyderabad,field,Rajasthan Royals,Sunrisers Hyderabad,Jos Buttler,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",KN Ananthapadmanabhan,Rohan Pandit,Navdeep Singh,Abhijit Bhattacharya,Narayanan Kutty,Abdul Samad,Fazalhaq Farooqi,Navdeep Saini,Yashasvi Jaiswal,Sunrisers Hyderabad,Rajasthan Royals,,
Yuzvendra Chahal,4.0,0,17.0,4,4.25,11,0,0,0,0,4,Rajasthan Royals,2023-04-02,2023,Sunrisers Hyderabad,Rajasthan Royals,Sunrisers Hyderabad,field,Rajasthan Royals,Sunrisers Hyderabad,Jos Buttler,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",KN Ananthapadmanabhan,Rohan Pandit,Navdeep Singh,Abhijit Bhattacharya,Narayanan Kutty,Abdul Samad,Fazalhaq Farooqi,Navdeep Saini,Yashasvi Jaiswal,Sunrisers Hyderabad,Rajasthan Royals,,
Navdeep Saini,2.0,0,34.0,0,17.0,3,3,2,0,3,4,Rajasthan Royals,2023-04-02,2023,Sunrisers Hyderabad,Rajasthan Royals,Sunrisers Hyderabad,field,Rajasthan Royals,Sunrisers Hyderabad,Jos Buttler,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",KN Ananthapadmanabhan,Rohan Pandit,Navdeep Singh,Abhijit Bhattacharya,Narayanan Kutty,Abdul Samad,Fazalhaq Farooqi,Navdeep Saini,Yashasvi Jaiswal,Sunrisers Hyderabad,Rajasthan Royals,,
Mohammed Siraj,4.0,0,21.0,1,5.25,16,2,0,6,0,5,Royal Challengers Bangalore,2023-04-02,2023,Royal Challengers Bangalore,Mumbai Indians,Royal Challengers Bangalore,field,Royal Challengers Bangalore,Mumbai Indians,Faf du Plessis,"M Chinnaswamy Stadium, Bengaluru",Nitin Menon,Tapan Sharma,Virender Sharma,Abhijit Bengeri,Javagal Srinath,Jason Behrendorff,Suryakumar Yadav,,,Mumbai Indians,,Arshad  Khan,Nehal  Wadhera
Reece Topley,2.0,0,14.0,1,7.0,7,3,0,0,0,5,Royal Challengers Bangalore,2023-04-02,2023,Royal Challengers Bangalore,Mumbai Indians,Royal Challengers Bangalore,field,Royal Challengers Bangalore,Mumbai Indians,Faf du Plessis,"M Chinnaswamy Stadium, Bengaluru",Nitin Menon,Tapan Sharma,Virender Sharma,Abhijit Bengeri,Javagal Srinath,Jason Behrendorff,Suryakumar Yadav,,,Mumbai Indians,,Arshad  Khan,Nehal  Wadhera
Akash Deep,3.0,0,29.0,1,9.66,7,2,2,0,0,5,Royal Challengers Bangalore,2023-04-02,2023,Royal Challengers Bangalore,Mumbai Indians,Royal Challengers Bangalore,field,Royal Challengers Bangalore,Mumbai Indians,Faf du Plessis,"M Chinnaswamy Stadium, Bengaluru",Nitin Menon,Tapan Sharma,Virender Sharma,Abhijit Bengeri,Javagal Srinath,Jason Behrendorff,Suryakumar Yadav,,,Mumbai Indians,,Arshad  Khan,Nehal  Wadhera
