batting,out,runs,balls,mins,fours,sixs,SR,counter,bat_team,Date,Season,Toss_team,First_innings,second_innings,bat_field,Team1_Won,Team2_lost,Player Of The Match,Stadium,Umpires1,Umpires2,TV_Umpire,Res_Umpire,Match_Ref,ImpactPlayers1,Replace1Player1,ImpactPlayers2,ReplacePlayer2,impactTeam1,impactTeam2,T20_debut_1,T20_debut_2
Anuj Rawat,not out,29,11,12,3,2,263.63,59,Royal Challengers Bangalore,2023-05-14,2023,Royal Challengers Bangalore,Royal Challengers Bangalore,Rajasthan Royals,bat,Royal Challengers Bangalore,Rajasthan Royals,Wayne Parnell,"Sawai Mansingh Stadium, Jaipur",KN Ananthapadmanabhan,Navdeep Singh,Rod Tucker,Parashar Joshi,Narayanan Kutty,Devdutt Padikkal,Yuzvendra Chahal,Shahbaz Ahmed,Dinesh Karthik,Rajasthan Royals,Royal Challengers Bangalore,,
Yashasvi Jaiswal,c Kohli b Mohammed Siraj,0,2,4,0,0,0.0,59,Rajasthan Royals,2023-05-14,2023,Royal Challengers Bangalore,Royal Challengers Bangalore,Rajasthan Royals,bat,Royal Challengers Bangalore,Rajasthan Royals,Wayne Parnell,"Sawai Mansingh Stadium, Jaipur",KN Ananthapadmanabhan,Navdeep Singh,Rod Tucker,Parashar Joshi,Narayanan Kutty,Devdutt Padikkal,Yuzvendra Chahal,Shahbaz Ahmed,Dinesh Karthik,Rajasthan Royals,Royal Challengers Bangalore,,
Jos Buttler,c Mohammed Siraj b Parnell,0,2,10,0,0,0.0,59,Rajasthan Royals,2023-05-14,2023,Royal Challengers Bangalore,Royal Challengers Bangalore,Rajasthan Royals,bat,Royal Challengers Bangalore,Rajasthan Royals,Wayne Parnell,"Sawai Mansingh Stadium, Jaipur",KN Ananthapadmanabhan,Navdeep Singh,Rod Tucker,Parashar Joshi,Narayanan Kutty,Devdutt Padikkal,Yuzvendra Chahal,Shahbaz Ahmed,Dinesh Karthik,Rajasthan Royals,Royal Challengers Bangalore,,
Sanju Samson (c)†,c Anuj Rawat b Parnell,4,5,10,1,0,80.0,59,Rajasthan Royals,2023-05-14,2023,Royal Challengers Bangalore,Royal Challengers Bangalore,Rajasthan Royals,bat,Royal Challengers Bangalore,Rajasthan Royals,Wayne Parnell,"Sawai Mansingh Stadium, Jaipur",KN Ananthapadmanabhan,Navdeep Singh,Rod Tucker,Parashar Joshi,Narayanan Kutty,Devdutt Padikkal,Yuzvendra Chahal,Shahbaz Ahmed,Dinesh Karthik,Rajasthan Royals,Royal Challengers Bangalore,,
Joe Root,lbw b Parnell,10,15,26,1,0,66.66,59,Rajasthan Royals,2023-05-14,2023,Royal Challengers Bangalore,Royal Challengers Bangalore,Rajasthan Royals,bat,Royal Challengers Bangalore,Rajasthan Royals,Wayne Parnell,"Sawai Mansingh Stadium, Jaipur",KN Ananthapadmanabhan,Navdeep Singh,Rod Tucker,Parashar Joshi,Narayanan Kutty,Devdutt Padikkal,Yuzvendra Chahal,Shahbaz Ahmed,Dinesh Karthik,Rajasthan Royals,Royal Challengers Bangalore,,
Devdutt Padikkal,c Mohammed Siraj b Bracewell,4,4,16,1,0,100.0,59,Rajasthan Royals,2023-05-14,2023,Royal Challengers Bangalore,Royal Challengers Bangalore,Rajasthan Royals,bat,Royal Challengers Bangalore,Rajasthan Royals,Wayne Parnell,"Sawai Mansingh Stadium, Jaipur",KN Ananthapadmanabhan,Navdeep Singh,Rod Tucker,Parashar Joshi,Narayanan Kutty,Devdutt Padikkal,Yuzvendra Chahal,Shahbaz Ahmed,Dinesh Karthik,Rajasthan Royals,Royal Challengers Bangalore,,
Shimron Hetmyer,c Bracewell b Maxwell,35,19,28,1,4,184.21,59,Rajasthan Royals,2023-05-14,2023,Royal Challengers Bangalore,Royal Challengers Bangalore,Rajasthan Royals,bat,Royal Challengers Bangalore,Rajasthan Royals,Wayne Parnell,"Sawai Mansingh Stadium, Jaipur",KN Ananthapadmanabhan,Navdeep Singh,Rod Tucker,Parashar Joshi,Narayanan Kutty,Devdutt Padikkal,Yuzvendra Chahal,Shahbaz Ahmed,Dinesh Karthik,Rajasthan Royals,Royal Challengers Bangalore,,
Dhruv Jurel,c Lomror b Bracewell,1,7,6,0,0,14.28,59,Rajasthan Royals,2023-05-14,2023,Royal Challengers Bangalore,Royal Challengers Bangalore,Rajasthan Royals,bat,Royal Challengers Bangalore,Rajasthan Royals,Wayne Parnell,"Sawai Mansingh Stadium, Jaipur",KN Ananthapadmanabhan,Navdeep Singh,Rod Tucker,Parashar Joshi,Narayanan Kutty,Devdutt Padikkal,Yuzvendra Chahal,Shahbaz Ahmed,Dinesh Karthik,Rajasthan Royals,Royal Challengers Bangalore,,
Ravichandran Ashwin,run out (Mohammed Siraj/Anuj Rawat),0,0,7,0,0,0.0,59,Rajasthan Royals,2023-05-14,2023,Royal Challengers Bangalore,Royal Challengers Bangalore,Rajasthan Royals,bat,Royal Challengers Bangalore,Rajasthan Royals,Wayne Parnell,"Sawai Mansingh Stadium, Jaipur",KN Ananthapadmanabhan,Navdeep Singh,Rod Tucker,Parashar Joshi,Narayanan Kutty,Devdutt Padikkal,Yuzvendra Chahal,Shahbaz Ahmed,Dinesh Karthik,Rajasthan Royals,Royal Challengers Bangalore,,
Adam Zampa,b Sharma,2,6,10,0,0,33.33,59,Rajasthan Royals,2023-05-14,2023,Royal Challengers Bangalore,Royal Challengers Bangalore,Rajasthan Royals,bat,Royal Challengers Bangalore,Rajasthan Royals,Wayne Parnell,"Sawai Mansingh Stadium, Jaipur",KN Ananthapadmanabhan,Navdeep Singh,Rod Tucker,Parashar Joshi,Narayanan Kutty,Devdutt Padikkal,Yuzvendra Chahal,Shahbaz Ahmed,Dinesh Karthik,Rajasthan Royals,Royal Challengers Bangalore,,
Sandeep Sharma,not out,0,1,4,0,0,0.0,59,Rajasthan Royals,2023-05-14,2023,Royal Challengers Bangalore,Royal Challengers Bangalore,Rajasthan Royals,bat,Royal Challengers Bangalore,Rajasthan Royals,Wayne Parnell,"Sawai Mansingh Stadium, Jaipur",KN Ananthapadmanabhan,Navdeep Singh,Rod Tucker,Parashar Joshi,Narayanan Kutty,Devdutt Padikkal,Yuzvendra Chahal,Shahbaz Ahmed,Dinesh Karthik,Rajasthan Royals,Royal Challengers Bangalore,,
KM Asif,c Kohli b Sharma,0,2,3,0,0,0.0,59,Rajasthan Royals,2023-05-14,2023,Royal Challengers Bangalore,Royal Challengers Bangalore,Rajasthan Royals,bat,Royal Challengers Bangalore,Rajasthan Royals,Wayne Parnell,"Sawai Mansingh Stadium, Jaipur",KN Ananthapadmanabhan,Navdeep Singh,Rod Tucker,Parashar Joshi,Narayanan Kutty,Devdutt Padikkal,Yuzvendra Chahal,Shahbaz Ahmed,Dinesh Karthik,Rajasthan Royals,Royal Challengers Bangalore,,
Ruturaj Gaikwad,c Arora b Varun,17,13,19,2,0,130.76,60,Chennai Super Kings,2023-05-14,2023,Chennai Super Kings,Chennai Super Kings,Kolkata Knight Riders,bat,Kolkata Knight Riders,Chennai Super Kings,Rinku Singh,"MA Chidambaram Stadium, Chepauk, Chennai",Tapan Sharma,Vinod Seshan,Nitin Menon,VM Dhokre,Javagal Srinath,Matheesha Pathirana,Shivam Dube,Venkatesh Iyer,Suyash Sharma,Chennai Super Kings,Kolkata Knight Riders,,
Devon Conway,c Singh b Thakur,30,28,51,3,0,107.14,60,Chennai Super Kings,2023-05-14,2023,Chennai Super Kings,Chennai Super Kings,Kolkata Knight Riders,bat,Kolkata Knight Riders,Chennai Super Kings,Rinku Singh,"MA Chidambaram Stadium, Chepauk, Chennai",Tapan Sharma,Vinod Seshan,Nitin Menon,VM Dhokre,Javagal Srinath,Matheesha Pathirana,Shivam Dube,Venkatesh Iyer,Suyash Sharma,Chennai Super Kings,Kolkata Knight Riders,,
Ajinkya Rahane,c Roy b Varun,16,11,24,1,1,145.45,60,Chennai Super Kings,2023-05-14,2023,Chennai Super Kings,Chennai Super Kings,Kolkata Knight Riders,bat,Kolkata Knight Riders,Chennai Super Kings,Rinku Singh,"MA Chidambaram Stadium, Chepauk, Chennai",Tapan Sharma,Vinod Seshan,Nitin Menon,VM Dhokre,Javagal Srinath,Matheesha Pathirana,Shivam Dube,Venkatesh Iyer,Suyash Sharma,Chennai Super Kings,Kolkata Knight Riders,,
Ambati Rayudu,b Narine,4,7,14,0,0,57.14,60,Chennai Super Kings,2023-05-14,2023,Chennai Super Kings,Chennai Super Kings,Kolkata Knight Riders,bat,Kolkata Knight Riders,Chennai Super Kings,Rinku Singh,"MA Chidambaram Stadium, Chepauk, Chennai",Tapan Sharma,Vinod Seshan,Nitin Menon,VM Dhokre,Javagal Srinath,Matheesha Pathirana,Shivam Dube,Venkatesh Iyer,Suyash Sharma,Chennai Super Kings,Kolkata Knight Riders,,
Shivam Dube,not out,48,34,55,1,3,141.17,60,Chennai Super Kings,2023-05-14,2023,Chennai Super Kings,Chennai Super Kings,Kolkata Knight Riders,bat,Kolkata Knight Riders,Chennai Super Kings,Rinku Singh,"MA Chidambaram Stadium, Chepauk, Chennai",Tapan Sharma,Vinod Seshan,Nitin Menon,VM Dhokre,Javagal Srinath,Matheesha Pathirana,Shivam Dube,Venkatesh Iyer,Suyash Sharma,Chennai Super Kings,Kolkata Knight Riders,,
Moeen Ali,b Narine,1,2,5,0,0,50.0,60,Chennai Super Kings,2023-05-14,2023,Chennai Super Kings,Chennai Super Kings,Kolkata Knight Riders,bat,Kolkata Knight Riders,Chennai Super Kings,Rinku Singh,"MA Chidambaram Stadium, Chepauk, Chennai",Tapan Sharma,Vinod Seshan,Nitin Menon,VM Dhokre,Javagal Srinath,Matheesha Pathirana,Shivam Dube,Venkatesh Iyer,Suyash Sharma,Chennai Super Kings,Kolkata Knight Riders,,
Ravindra Jadeja,c Varun b Arora,20,24,43,0,1,83.33,60,Chennai Super Kings,2023-05-14,2023,Chennai Super Kings,Chennai Super Kings,Kolkata Knight Riders,bat,Kolkata Knight Riders,Chennai Super Kings,Rinku Singh,"MA Chidambaram Stadium, Chepauk, Chennai",Tapan Sharma,Vinod Seshan,Nitin Menon,VM Dhokre,Javagal Srinath,Matheesha Pathirana,Shivam Dube,Venkatesh Iyer,Suyash Sharma,Chennai Super Kings,Kolkata Knight Riders,,
MS Dhoni (c)†,not out,2,3,4,0,0,66.66,60,Chennai Super Kings,2023-05-14,2023,Chennai Super Kings,Chennai Super Kings,Kolkata Knight Riders,bat,Kolkata Knight Riders,Chennai Super Kings,Rinku Singh,"MA Chidambaram Stadium, Chepauk, Chennai",Tapan Sharma,Vinod Seshan,Nitin Menon,VM Dhokre,Javagal Srinath,Matheesha Pathirana,Shivam Dube,Venkatesh Iyer,Suyash Sharma,Chennai Super Kings,Kolkata Knight Riders,,
Jason Roy,c Pathirana b Chahar,12,15,30,1,0,80.0,60,Kolkata Knight Riders,2023-05-14,2023,Chennai Super Kings,Chennai Super Kings,Kolkata Knight Riders,bat,Kolkata Knight Riders,Chennai Super Kings,Rinku Singh,"MA Chidambaram Stadium, Chepauk, Chennai",Tapan Sharma,Vinod Seshan,Nitin Menon,VM Dhokre,Javagal Srinath,Matheesha Pathirana,Shivam Dube,Venkatesh Iyer,Suyash Sharma,Chennai Super Kings,Kolkata Knight Riders,,
Rahmanullah Gurbaz †,c Deshpande b Chahar,1,4,8,0,0,25.0,60,Kolkata Knight Riders,2023-05-14,2023,Chennai Super Kings,Chennai Super Kings,Kolkata Knight Riders,bat,Kolkata Knight Riders,Chennai Super Kings,Rinku Singh,"MA Chidambaram Stadium, Chepauk, Chennai",Tapan Sharma,Vinod Seshan,Nitin Menon,VM Dhokre,Javagal Srinath,Matheesha Pathirana,Shivam Dube,Venkatesh Iyer,Suyash Sharma,Chennai Super Kings,Kolkata Knight Riders,,
Venkatesh Iyer,c Jadeja b Chahar,9,4,11,2,0,225.0,60,Kolkata Knight Riders,2023-05-14,2023,Chennai Super Kings,Chennai Super Kings,Kolkata Knight Riders,bat,Kolkata Knight Riders,Chennai Super Kings,Rinku Singh,"MA Chidambaram Stadium, Chepauk, Chennai",Tapan Sharma,Vinod Seshan,Nitin Menon,VM Dhokre,Javagal Srinath,Matheesha Pathirana,Shivam Dube,Venkatesh Iyer,Suyash Sharma,Chennai Super Kings,Kolkata Knight Riders,,
Nitish Rana (c),not out,57,44,72,6,1,129.54,60,Kolkata Knight Riders,2023-05-14,2023,Chennai Super Kings,Chennai Super Kings,Kolkata Knight Riders,bat,Kolkata Knight Riders,Chennai Super Kings,Rinku Singh,"MA Chidambaram Stadium, Chepauk, Chennai",Tapan Sharma,Vinod Seshan,Nitin Menon,VM Dhokre,Javagal Srinath,Matheesha Pathirana,Shivam Dube,Venkatesh Iyer,Suyash Sharma,Chennai Super Kings,Kolkata Knight Riders,,
Rinku Singh,run out (Ali),54,43,54,4,3,125.58,60,Kolkata Knight Riders,2023-05-14,2023,Chennai Super Kings,Chennai Super Kings,Kolkata Knight Riders,bat,Kolkata Knight Riders,Chennai Super Kings,Rinku Singh,"MA Chidambaram Stadium, Chepauk, Chennai",Tapan Sharma,Vinod Seshan,Nitin Menon,VM Dhokre,Javagal Srinath,Matheesha Pathirana,Shivam Dube,Venkatesh Iyer,Suyash Sharma,Chennai Super Kings,Kolkata Knight Riders,,
Andre Russell,not out,2,2,9,0,0,100.0,60,Kolkata Knight Riders,2023-05-14,2023,Chennai Super Kings,Chennai Super Kings,Kolkata Knight Riders,bat,Kolkata Knight Riders,Chennai Super Kings,Rinku Singh,"MA Chidambaram Stadium, Chepauk, Chennai",Tapan Sharma,Vinod Seshan,Nitin Menon,VM Dhokre,Javagal Srinath,Matheesha Pathirana,Shivam Dube,Venkatesh Iyer,Suyash Sharma,Chennai Super Kings,Kolkata Knight Riders,,
Wriddhiman Saha †,c Abhishek Sharma b Kumar,0,3,4,0,0,0.0,61,Gujarat Titans,2023-05-15,2023,Sunrisers Hyderabad,Gujarat Titans,Sunrisers Hyderabad,field,Gujarat Titans,Sunrisers Hyderabad,Shubman Gill,"Narendra Modi Stadium, Ahmedabad",Jayaraman Madanagopal,Ulhas Gandhe,Akshay Totre,Mohamed Rafi,Manu Nayyar,Anmolpreet Singh,T Natarajan,Yash Dayal,Shubman Gill,Sunrisers Hyderabad,Gujarat Titans,,
Shubman Gill,c Abdul Samad b Kumar,101,58,100,13,1,174.13,61,Gujarat Titans,2023-05-15,2023,Sunrisers Hyderabad,Gujarat Titans,Sunrisers Hyderabad,field,Gujarat Titans,Sunrisers Hyderabad,Shubman Gill,"Narendra Modi Stadium, Ahmedabad",Jayaraman Madanagopal,Ulhas Gandhe,Akshay Totre,Mohamed Rafi,Manu Nayyar,Anmolpreet Singh,T Natarajan,Yash Dayal,Shubman Gill,Sunrisers Hyderabad,Gujarat Titans,,
Sai Sudharsan,c Natarajan b Jansen,47,36,70,6,1,130.55,61,Gujarat Titans,2023-05-15,2023,Sunrisers Hyderabad,Gujarat Titans,Sunrisers Hyderabad,field,Gujarat Titans,Sunrisers Hyderabad,Shubman Gill,"Narendra Modi Stadium, Ahmedabad",Jayaraman Madanagopal,Ulhas Gandhe,Akshay Totre,Mohamed Rafi,Manu Nayyar,Anmolpreet Singh,T Natarajan,Yash Dayal,Shubman Gill,Sunrisers Hyderabad,Gujarat Titans,,
Hardik Pandya (c),c Tripathi b Kumar,8,6,7,1,0,133.33,61,Gujarat Titans,2023-05-15,2023,Sunrisers Hyderabad,Gujarat Titans,Sunrisers Hyderabad,field,Gujarat Titans,Sunrisers Hyderabad,Shubman Gill,"Narendra Modi Stadium, Ahmedabad",Jayaraman Madanagopal,Ulhas Gandhe,Akshay Totre,Mohamed Rafi,Manu Nayyar,Anmolpreet Singh,T Natarajan,Yash Dayal,Shubman Gill,Sunrisers Hyderabad,Gujarat Titans,,
David Miller,c Markram b Natarajan,7,5,8,1,0,140.0,61,Gujarat Titans,2023-05-15,2023,Sunrisers Hyderabad,Gujarat Titans,Sunrisers Hyderabad,field,Gujarat Titans,Sunrisers Hyderabad,Shubman Gill,"Narendra Modi Stadium, Ahmedabad",Jayaraman Madanagopal,Ulhas Gandhe,Akshay Totre,Mohamed Rafi,Manu Nayyar,Anmolpreet Singh,T Natarajan,Yash Dayal,Shubman Gill,Sunrisers Hyderabad,Gujarat Titans,,
Rahul Tewatia,c Jansen b Fazalhaq Farooqi,3,3,7,0,0,100.0,61,Gujarat Titans,2023-05-15,2023,Sunrisers Hyderabad,Gujarat Titans,Sunrisers Hyderabad,field,Gujarat Titans,Sunrisers Hyderabad,Shubman Gill,"Narendra Modi Stadium, Ahmedabad",Jayaraman Madanagopal,Ulhas Gandhe,Akshay Totre,Mohamed Rafi,Manu Nayyar,Anmolpreet Singh,T Natarajan,Yash Dayal,Shubman Gill,Sunrisers Hyderabad,Gujarat Titans,,
Dasun Shanaka,not out,9,7,12,1,0,128.57,61,Gujarat Titans,2023-05-15,2023,Sunrisers Hyderabad,Gujarat Titans,Sunrisers Hyderabad,field,Gujarat Titans,Sunrisers Hyderabad,Shubman Gill,"Narendra Modi Stadium, Ahmedabad",Jayaraman Madanagopal,Ulhas Gandhe,Akshay Totre,Mohamed Rafi,Manu Nayyar,Anmolpreet Singh,T Natarajan,Yash Dayal,Shubman Gill,Sunrisers Hyderabad,Gujarat Titans,,
Rashid Khan,c †Klaasen b Kumar,0,1,2,0,0,0.0,61,Gujarat Titans,2023-05-15,2023,Sunrisers Hyderabad,Gujarat Titans,Sunrisers Hyderabad,field,Gujarat Titans,Sunrisers Hyderabad,Shubman Gill,"Narendra Modi Stadium, Ahmedabad",Jayaraman Madanagopal,Ulhas Gandhe,Akshay Totre,Mohamed Rafi,Manu Nayyar,Anmolpreet Singh,T Natarajan,Yash Dayal,Shubman Gill,Sunrisers Hyderabad,Gujarat Titans,,
Noor Ahmad,run out (†Klaasen/Kumar),0,1,1,0,0,0.0,61,Gujarat Titans,2023-05-15,2023,Sunrisers Hyderabad,Gujarat Titans,Sunrisers Hyderabad,field,Gujarat Titans,Sunrisers Hyderabad,Shubman Gill,"Narendra Modi Stadium, Ahmedabad",Jayaraman Madanagopal,Ulhas Gandhe,Akshay Totre,Mohamed Rafi,Manu Nayyar,Anmolpreet Singh,T Natarajan,Yash Dayal,Shubman Gill,Sunrisers Hyderabad,Gujarat Titans,,
Mohammed Shami,c Jansen b Kumar,0,1,3,0,0,0.0,61,Gujarat Titans,2023-05-15,2023,Sunrisers Hyderabad,Gujarat Titans,Sunrisers Hyderabad,field,Gujarat Titans,Sunrisers Hyderabad,Shubman Gill,"Narendra Modi Stadium, Ahmedabad",Jayaraman Madanagopal,Ulhas Gandhe,Akshay Totre,Mohamed Rafi,Manu Nayyar,Anmolpreet Singh,T Natarajan,Yash Dayal,Shubman Gill,Sunrisers Hyderabad,Gujarat Titans,,
Mohit Sharma,not out,0,1,1,0,0,0.0,61,Gujarat Titans,2023-05-15,2023,Sunrisers Hyderabad,Gujarat Titans,Sunrisers Hyderabad,field,Gujarat Titans,Sunrisers Hyderabad,Shubman Gill,"Narendra Modi Stadium, Ahmedabad",Jayaraman Madanagopal,Ulhas Gandhe,Akshay Totre,Mohamed Rafi,Manu Nayyar,Anmolpreet Singh,T Natarajan,Yash Dayal,Shubman Gill,Sunrisers Hyderabad,Gujarat Titans,,
Anmolpreet Singh,c Rashid Khan b Mohammed Shami,5,4,5,1,0,125.0,61,Sunrisers Hyderabad,2023-05-15,2023,Sunrisers Hyderabad,Gujarat Titans,Sunrisers Hyderabad,field,Gujarat Titans,Sunrisers Hyderabad,Shubman Gill,"Narendra Modi Stadium, Ahmedabad",Jayaraman Madanagopal,Ulhas Gandhe,Akshay Totre,Mohamed Rafi,Manu Nayyar,Anmolpreet Singh,T Natarajan,Yash Dayal,Shubman Gill,Sunrisers Hyderabad,Gujarat Titans,,
Abhishek Sharma,c †Saha b Yash Dayal,5,5,10,1,0,100.0,61,Sunrisers Hyderabad,2023-05-15,2023,Sunrisers Hyderabad,Gujarat Titans,Sunrisers Hyderabad,field,Gujarat Titans,Sunrisers Hyderabad,Shubman Gill,"Narendra Modi Stadium, Ahmedabad",Jayaraman Madanagopal,Ulhas Gandhe,Akshay Totre,Mohamed Rafi,Manu Nayyar,Anmolpreet Singh,T Natarajan,Yash Dayal,Shubman Gill,Sunrisers Hyderabad,Gujarat Titans,,
Aiden Markram (c),c Shanaka b Mohammed Shami,10,10,19,1,0,100.0,61,Sunrisers Hyderabad,2023-05-15,2023,Sunrisers Hyderabad,Gujarat Titans,Sunrisers Hyderabad,field,Gujarat Titans,Sunrisers Hyderabad,Shubman Gill,"Narendra Modi Stadium, Ahmedabad",Jayaraman Madanagopal,Ulhas Gandhe,Akshay Totre,Mohamed Rafi,Manu Nayyar,Anmolpreet Singh,T Natarajan,Yash Dayal,Shubman Gill,Sunrisers Hyderabad,Gujarat Titans,,
Rahul Tripathi,c Tewatia b Mohammed Shami,1,2,5,0,0,50.0,61,Sunrisers Hyderabad,2023-05-15,2023,Sunrisers Hyderabad,Gujarat Titans,Sunrisers Hyderabad,field,Gujarat Titans,Sunrisers Hyderabad,Shubman Gill,"Narendra Modi Stadium, Ahmedabad",Jayaraman Madanagopal,Ulhas Gandhe,Akshay Totre,Mohamed Rafi,Manu Nayyar,Anmolpreet Singh,T Natarajan,Yash Dayal,Shubman Gill,Sunrisers Hyderabad,Gujarat Titans,,
Heinrich Klaasen †,c Miller b Mohammed Shami,64,44,73,4,3,145.45,61,Sunrisers Hyderabad,2023-05-15,2023,Sunrisers Hyderabad,Gujarat Titans,Sunrisers Hyderabad,field,Gujarat Titans,Sunrisers Hyderabad,Shubman Gill,"Narendra Modi Stadium, Ahmedabad",Jayaraman Madanagopal,Ulhas Gandhe,Akshay Totre,Mohamed Rafi,Manu Nayyar,Anmolpreet Singh,T Natarajan,Yash Dayal,Shubman Gill,Sunrisers Hyderabad,Gujarat Titans,,
Sanvir Singh,c Sai Sudharsan b Sharma,7,6,12,0,1,116.66,61,Sunrisers Hyderabad,2023-05-15,2023,Sunrisers Hyderabad,Gujarat Titans,Sunrisers Hyderabad,field,Gujarat Titans,Sunrisers Hyderabad,Shubman Gill,"Narendra Modi Stadium, Ahmedabad",Jayaraman Madanagopal,Ulhas Gandhe,Akshay Totre,Mohamed Rafi,Manu Nayyar,Anmolpreet Singh,T Natarajan,Yash Dayal,Shubman Gill,Sunrisers Hyderabad,Gujarat Titans,,
Abdul Samad,c sub (Shivam Mavi) b Sharma,4,3,5,1,0,133.33,61,Sunrisers Hyderabad,2023-05-15,2023,Sunrisers Hyderabad,Gujarat Titans,Sunrisers Hyderabad,field,Gujarat Titans,Sunrisers Hyderabad,Shubman Gill,"Narendra Modi Stadium, Ahmedabad",Jayaraman Madanagopal,Ulhas Gandhe,Akshay Totre,Mohamed Rafi,Manu Nayyar,Anmolpreet Singh,T Natarajan,Yash Dayal,Shubman Gill,Sunrisers Hyderabad,Gujarat Titans,,
Marco Jansen,c Pandya b Sharma,3,6,11,0,0,50.0,61,Sunrisers Hyderabad,2023-05-15,2023,Sunrisers Hyderabad,Gujarat Titans,Sunrisers Hyderabad,field,Gujarat Titans,Sunrisers Hyderabad,Shubman Gill,"Narendra Modi Stadium, Ahmedabad",Jayaraman Madanagopal,Ulhas Gandhe,Akshay Totre,Mohamed Rafi,Manu Nayyar,Anmolpreet Singh,T Natarajan,Yash Dayal,Shubman Gill,Sunrisers Hyderabad,Gujarat Titans,,
Bhuvneshwar Kumar,c Rashid Khan b Sharma,27,26,51,3,0,103.84,61,Sunrisers Hyderabad,2023-05-15,2023,Sunrisers Hyderabad,Gujarat Titans,Sunrisers Hyderabad,field,Gujarat Titans,Sunrisers Hyderabad,Shubman Gill,"Narendra Modi Stadium, Ahmedabad",Jayaraman Madanagopal,Ulhas Gandhe,Akshay Totre,Mohamed Rafi,Manu Nayyar,Anmolpreet Singh,T Natarajan,Yash Dayal,Shubman Gill,Sunrisers Hyderabad,Gujarat Titans,,
Mayank Markande,not out,18,9,17,2,1,200.0,61,Sunrisers Hyderabad,2023-05-15,2023,Sunrisers Hyderabad,Gujarat Titans,Sunrisers Hyderabad,field,Gujarat Titans,Sunrisers Hyderabad,Shubman Gill,"Narendra Modi Stadium, Ahmedabad",Jayaraman Madanagopal,Ulhas Gandhe,Akshay Totre,Mohamed Rafi,Manu Nayyar,Anmolpreet Singh,T Natarajan,Yash Dayal,Shubman Gill,Sunrisers Hyderabad,Gujarat Titans,,
Fazalhaq Farooqi,not out,1,5,5,0,0,20.0,61,Sunrisers Hyderabad,2023-05-15,2023,Sunrisers Hyderabad,Gujarat Titans,Sunrisers Hyderabad,field,Gujarat Titans,Sunrisers Hyderabad,Shubman Gill,"Narendra Modi Stadium, Ahmedabad",Jayaraman Madanagopal,Ulhas Gandhe,Akshay Totre,Mohamed Rafi,Manu Nayyar,Anmolpreet Singh,T Natarajan,Yash Dayal,Shubman Gill,Sunrisers Hyderabad,Gujarat Titans,,
Deepak Hooda,c David b Behrendorff,5,7,12,0,0,71.42,62,Lucknow Super Giants,2023-05-16,2023,Mumbai Indians,Lucknow Super Giants,Mumbai Indians,field,Lucknow Super Giants,Mumbai Indians,Marcus Stoinis,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",Anil Chaudhary,Nand Kishore,Chris Gaffaney,Mohit Krishnadas,Sanjay Verma,Vishnu Vinod,Akash Madhwal,Yash Thakur,Prerak Mankad,Mumbai Indians,Lucknow Super Giants,,
Quinton de Kock †,c †Ishan Kishan b Chawla,16,15,31,0,2,106.66,62,Lucknow Super Giants,2023-05-16,2023,Mumbai Indians,Lucknow Super Giants,Mumbai Indians,field,Lucknow Super Giants,Mumbai Indians,Marcus Stoinis,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",Anil Chaudhary,Nand Kishore,Chris Gaffaney,Mohit Krishnadas,Sanjay Verma,Vishnu Vinod,Akash Madhwal,Yash Thakur,Prerak Mankad,Mumbai Indians,Lucknow Super Giants,,
Prerak Mankad,c †Ishan Kishan b Behrendorff,0,1,2,0,0,0.0,62,Lucknow Super Giants,2023-05-16,2023,Mumbai Indians,Lucknow Super Giants,Mumbai Indians,field,Lucknow Super Giants,Mumbai Indians,Marcus Stoinis,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",Anil Chaudhary,Nand Kishore,Chris Gaffaney,Mohit Krishnadas,Sanjay Verma,Vishnu Vinod,Akash Madhwal,Yash Thakur,Prerak Mankad,Mumbai Indians,Lucknow Super Giants,,
Krunal Pandya (c),retired hurt,49,42,71,1,1,116.66,62,Lucknow Super Giants,2023-05-16,2023,Mumbai Indians,Lucknow Super Giants,Mumbai Indians,field,Lucknow Super Giants,Mumbai Indians,Marcus Stoinis,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",Anil Chaudhary,Nand Kishore,Chris Gaffaney,Mohit Krishnadas,Sanjay Verma,Vishnu Vinod,Akash Madhwal,Yash Thakur,Prerak Mankad,Mumbai Indians,Lucknow Super Giants,,
Marcus Stoinis,not out,89,47,80,4,8,189.36,62,Lucknow Super Giants,2023-05-16,2023,Mumbai Indians,Lucknow Super Giants,Mumbai Indians,field,Lucknow Super Giants,Mumbai Indians,Marcus Stoinis,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",Anil Chaudhary,Nand Kishore,Chris Gaffaney,Mohit Krishnadas,Sanjay Verma,Vishnu Vinod,Akash Madhwal,Yash Thakur,Prerak Mankad,Mumbai Indians,Lucknow Super Giants,,
